Nome,Endereço,CEP,Cidade,Estado,País,lat,lng
Auto Posto Petrox 13 de Julho,"Av. Gov. Paulo Barreto de Menezes, 770",49020-010,Aracaju,SE1,BR,-10.93053298589596,-37.04718805085942
Auto Posto Petrox Aruana,"Rodovia dos Náufragos, 4700",49008-093,Aracaju,SE1,BR,-11.018119323100661,-37.083374074503155
Auto Posto Petrox Lamarão,"Av. Paulo Figueiredo Barreto, 530",49070-000,Aracaju,SE1,BR,-10.87237707131691,-37.07763639050899
Auto Posto Petrox Rua Alagoas,"Rua Paraíba, Número 240",49085-510,Aracaju,SE1,BR,-10.905842790555687,-37.07381468988594
Auto Posto Petrox Parque da Cidade,"Avenida Gal Euclides Figueiredo, 909",49.089-02,Aracaju,SE1,BR,-10.881711238007034,-37.04853656745969
Auto Posto Petrox Nestor Sampaio,"Rua Nestor Sampaio, 195",49045-000,Aracaju,SE1,BR,-10.93426337276492,-37.07755424682993
Auto Posto Petrox Rua Estancia,"Rua Estancia, 745",49010-180,Aracaju,SE1,BR,-10.916010698171275,-37.05445071614189
Auto Posto Petrox Aeroporto,"AVENIDA MONTEIRO LOBATO, Nº 850",49037-450,ARACAJU,SE1,BR,-10.985887333550481,-37.05815311577379
Auto Posto Paranaiba,"Rua Paranaiba, N 560",75526-452,Itumbiara,GO11,BR,-18.420375695312043,-49.2194097042025
Auto Posto Pontal da Cruz,"Avenida Dr. Manoel Hipolito do Rego,1077",11606-100,São Sebastião,SP4,BR,-23.77971080706109,-45.39934881601378
Posto João Filé,"Br 101 Sul km 85,1",54335-000,Jaboatão dos Guararapes,PE,BR,-8.186719662502863,-34.953556816154624
Auto Posto Original B4 (Gás),"Qi 21, Lote 02/08, Taguatinga Norte",72135-210,Brasília,DFGP,BR,-15.8078097,-48.08175521
Auto Posto Original 414 (Gás),"SHCS 414 Bloco A PLL, Asa Sul",72297-010,Brasília,DFGP,BR,-15.832745,-47.916557
Auto Posto Original 409 (Gás),"SHCS 409 Bloco A PLL, Asa Sul",70258-010,Brasília,DFGP,BR,-15.823091,-47.903157
R13 Santa Maria (Gás),"AC 219 Conj A Lote 01/04, Santa Maria",72549-305,Brasília,DFGP,BR,-16.004098,-47.98706418
R13 Taguatinga (Gás),QI 04 Lote 41/42,71135-040,Brasília,DFGP,BR,-15.8080505,-48.073649921
Auto Posto Original 415(Gás),"SHCS 415 Lote 03 PLL, Asa Sul",72298-000,Brasília,DFGP,BR,-15.8348279,-47.91939463
Posto Xavante Paraná,Rua Sergipe - 1065,35500-012,Divinópolis,MG,BR,-20.145260271933843,-44.90005545840612
Posto Xavante Center,"Rua Getulio Vargas, 535",35500-000,Divinópolis,MG,BR,-20.144224185587785,-44.8864572471051
Posto Xavante Atacadão,RUA CASTRO ALVES 2400,3501-2050,Divinópolis,MGP,BR,-20.168474380892135,-44.90762624951236
Auto Posto Brasileirão,BR 050    ,38446-232,Araguari,MG2,BR,-18.661274381894426,-48.16169013126168
Auto Posto Nova Palhoça,Avenida Rio Grande,88131-600,Palhoça,SC1,BR,-27.66317482092236,-48.65936717073959
Auto Posto J J Junior,"Avenida Avenida Jk, S/N",72910-001,Aguas Lindas,GO4P,BR,-15.720113308403327,-48.285633270053495
Posto Avenida das Torres,"Av. Osvaldo José do Amaral S/N, Esq. R. Manoel Eduardo Cardoso",88110-798,São José,SC3,BR,-27.575175682138404,-48.62511488222922
Auto Posto Kiribati,"Rua David Tows, 3000",81920-080,Curitiba,PRP,BR,-25.538047790527344,-49.254615783691406
Auto Posto PH,"Av. Senador Salgado Filho, 921",81510-000,Curitiba,PRP,BR,-25.460322639978,-49.248378688913775
Posto Referencial 2,"RUA GUGLIELMO MARCONI, 756",82820-250,Curitiba,PRP,BR,-25.41950728831024,-49.20321820256358
Posto Referencial 1,"Editar RUA BALTAZAR CARRASCO DOS REIS, 2101",80230-070,Curitiba,PRP,BR,-25.449742,-49.267704
Auto Posto MBP,"R. Saturnino Miranda, 385",82030-320,Curitiba,PRP,BR,-25.39252996135966,-49.33360156854639
Auto Posto Nova Délhi,"R. Eduardo Pinto da Rocha, 809",81850-000,Curitiba,PRP,BR,-25.537584642575826,-49.24169838645723
Posto Boqueirão,"Rua Professor João Barcelos, 3716",81670-080,Curitiba,PRP,BR,-25.50517347014812,-49.243071704082205
Posto Abaeté,"Rua Fernando de Noronha, 1338",82640-350,Curitiba,PRP,BR,-25.377689383807375,-49.24246678716094
Posto X,"Rua XV de Novembro, 2499",80045-270,Curitiba,PRP,BR,-25.426807069316414,-49.24992889027438
Auto Posto Aguiar,"Quadra Quadra 40 Lote 20,21 e, 22",72900-970,Santo Antônio do Descoberto,GO12,BR,-15.943171887680084,-48.262008704402476
Auto Posto VIP,"ROD BR 060, KM 71 NORTE",72940-000,Abadiânia,GO13,BR,-16.250996232433565,-48.76086706010907
Posto Conceição,Rua Jardim do Norte,44320-000,Conceição da Feira,BA3,BR,-12.496469331935224,-39.00110709745193
Posto Xavante Caiçara,Avenida Presidente Carlos Luz 445,31230-000,Belo Horizonte,MG3,BR,-19.904922187472458,-43.96480670315742
Posto Iguatemi,"AV SANTOS DUMONT, 5259",60190-800,Fortaleza,CE,BR,-3.740526286307136,-38.484380734031696
Posto Leal III,"ROD BR 116, 5.541",60.851-02,FORTALEZA,CE,BR,-3.7697231058818548,-38.51682931453677
Posto São Miguel,"R DR. THOMPSON BULCAO, 850",60810-460,Fortaleza,CE,BR,-3.77069585585151,-38.4888897009615
Posto Vitória Leal,"AV PRES. COSTA E SILVA, 898",60863-503,Fortaleza,CE,BR,-3.813084680639883,-38.57161095152557
Posto Leal VIII,"AV. BEZERRA DE MENEZES, 2323",60325-004,Fortaleza,CE,BR,-3.7360966527956343,-38.56529221797402
Posto Status,"AV. PRES. COSTA E SILVA, 3101",60761-971,Fortaleza,CE,BR,-3.8289952743714264,-38.52216799450967
Posto Leal VI,"AV JOSE BASTOS, 3950",60431-086,Fortaleza,CE,BR,-3.7489572324041673,-38.55272654131231
Posto Leal IX,"AV JOAO PESSOA, 5834",60425-813,Fortaleza,CE,BR,-3.7613976,-38.557516
Posto Curió," AV. ODILON GUIMARAES, 2130",60844-070,Fortaleza,CE,BR,-3.8202793353051177,-38.4754300804445
Posto Siqueira,"Av. Osorio de Paiva, 6800",60720-001,Fortaleza,CE,BR,-3.8137029177612405,-38.61097086781176
Posto Leal IV,"RODOVIA BR 116, 11.055",60823-105,Fortaleza,CE,BR,-3.844156465322298,-38.4977333452268
Posto Canaã Fortaleza,"Avenida Antonio Sales, 2880",60135-102,Fortaleza,CE,BR,-3.746952835491517,-38.49835054301512
Blindar Vistoria Automotiva,"SIA Trecho 17, Rua 20, Lote 60",71200-256,Brasília,DFVIS1,BR,-15.796912785680547,-47.968288869847484
